Aug 01 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
MUTiRiS,630,Christopher Fernandes,Portugal,30,N/A,0.99,204,1477,38788,26486,26282,1.01,50.2,77.4,0.96,"{""2012"":1,""2013"":0.95,""2014"":0.93,""2015"":1,""2016"":1.07,""2017"":1.11,""2018"":0.98,""2019"":0.97,""2020"":1.02,""2021"":0.96,""2022"":1.01}",398,"[""10567/SAW"",""4949/Giants"",""7718/Movistar Riders"",""6134/Kinguin"",""7326/k1ck oldschool"",""4469/k1ck"",""4759/OverGaming""]",0,0,0,9,0,0,0,N/A
allu,695,Aleksi Jalli,Finland,31,N/A,1.1,5044,1821,47978,35713,30669,1.16,28.7,75.4,1.05,"{""2012"":1.08,""2013"":1.17,""2014"":1.22,""2015"":1.05,""2016"":1.1,""2017"":1.05,""2018"":1.12,""2019"":1.08,""2020"":1.08,""2021"":0.99,""2022"":1.14}",623,"[""11827/JANO"",""11520/temp"",""4869/ENCE"",""6615/OpTic"",""6667/FaZe"",""4411/Ninjas in Pyjamas"",""4494/MOUZ""]",0,7,3,62,0,1,0,19
Dosia,735,Mihail Stolyarov,Russia,35,N/A,0.99,200,1456,38186,25592,25392,1.01,48.1,73.6,0.96,"{""2012"":1.02,""2013"":1.12,""2014"":1.03,""2015"":1,""2016"":0.98,""2017"":0.96,""2018"":0.9,""2019"":0.93,""2020"":0.75,""2021"":0.81,""2022"":0.78}",525,"[""11889/Forward"",""11136/FreeTON"",""6651/Gambit"",""5310/HellRaisers"",""4984/Astana Dragons"",""4555/Virtus.pro""]",1,11,6,58,2,1,1,4
oskar,798,Tomáš Šťastný,Czech Republic,32,N/A,1.13,5481,1661,44008,33430,27949,1.2,30.3,78,1.13,"{""2012"":1.14,""2013"":1,""2014"":1.01,""2015"":1.18,""2016"":1.2,""2017"":1.15,""2018"":1.1,""2019"":1.01,""2020"":1.05,""2021"":1.16,""2022"":1.09}",595,"[""10577/SINNERS"",""11985/ex-TITANS"",""11825/TITANS"",""11562/Tokyo Revengers"",""8637/Sprout"",""5310/HellRaisers"",""4494/MOUZ"",""4573/Fraternitas"",""4683/3DMAX""]",0,4,4,35,2,2,0,14
Maniac,823,Mathieu Quiquerez,Switzerland,33,N/A,0.96,-388,837,22049,14478,14866,0.97,39.4,74.4,0.93,"{""2012"":0.86,""2013"":0.96,""2014"":0.98,""2015"":0.96,""2016"":0.88,""2017"":0.97,""2018"":0.95,""2019"":1.28}",292,"[""4674/LDLC"",""5284/Titan""]",0,5,2,27,0,0,0,N/A
tb,839,BingYuan Li,China,32,N/A,1.03,708,619,15737,11088,10380,1.07,49.9,76.7,0.92,"{""2015"":1.09,""2016"":1.11,""2017"":1,""2018"":0.95,""2019"":0.96,""2020"":0.77}",197,"[""11544/WDNMD"",""11081/TCG"",""10648/Wubbalubbadubdub"",""9872/Panda"",""6503/CyberZen"",""7606/ViCi"",""6773/VG.CyberZen""]",0,0,0,0,0,0,0,N/A
Xizt,884,Richard Landström,Sweden,32,N/A,0.98,511,1667,42881,28519,28008,1.02,46.8,70.4,0.96,"{""2012"":1.26,""2013"":1.12,""2014"":1.05,""2015"":1.01,""2016"":0.98,""2017"":0.9,""2018"":0.87,""2019"":0.87}",432,"[""5422/Dignitas"",""4991/fnatic"",""6667/FaZe"",""4411/Ninjas in Pyjamas""]",1,11,24,93,2,1,1,6
olofmeister,885,Olof Kajbjer,Sweden,31,N/A,1.06,2732,1574,41212,29363,26630,1.1,46.7,72.9,1.03,"{""2012"":0.81,""2013"":1.15,""2014"":1.11,""2015"":1.15,""2016"":1.08,""2017"":1.07,""2018"":1,""2019"":0.99,""2020"":0.87,""2021"":0.93,""2022"":0.79}",505,"[""6667/FaZe"",""4991/fnatic"",""5028/LGB""]",2,16,25,94,6,4,2,1
BERRY,921,Danny Krüger,Denmark,33,N/A,0.87,-2516,821,21536,13234,15750,0.84,38.1,71.2,0.72,"{""2013"":0.83,""2014"":0.89,""2015"":0.92,""2016"":0.82,""2017"":0.93,""2018"":0.89,""2019"":0.85,""2020"":0.97,""2021"":0.79}",215,"[""8637/Sprout"",""7743/OPAA"",""11191/ex-Quantum Bellator Fire"",""7367/Quantum Bellator Fire"",""7674/Ambush"",""9358/Jordan's Money Crew"",""8490/TOXIC"",""7074/Delete"",""6807/Alpha"",""5909/No Problem!"",""6137/SK"",""4593/CPLAY"",""5126/momo momo""]",0,0,0,0,0,0,0,N/A
Snappi,922,Marco Pfeiffer,Denmark,33,N/A,0.95,-1329,1741,46071,29778,31107,0.96,45.6,72.4,0.94,"{""2013"":1.15,""2014"":0.76,""2015"":0.99,""2016"":0.98,""2017"":0.95,""2018"":0.96,""2019"":0.97,""2020"":0.91,""2021"":0.91,""2022"":0.89}",494,"[""4869/ENCE"",""10606/c0ntact"",""7175/Heroic"",""6615/OpTic"",""7059/X"",""4548/CPH Wolves"",""5909/No Problem!"",""4334/Wikipediots""]",0,5,1,42,0,0,0,N/A
